,Label,System,X,Y,Name,NameText,ActiveWorld,Description,ButtonLabel,Map,ExitMap,Scale,PlanetRotation,RingColor,OrbitRing,SystemLevelType,PlanetLevelType,Event,EventCondition,EventFunction,EventParameter,EventTransition,EventTransitionParameter,EventMessage,VisibleConditional,VisibleFunction,VisibleParameter,UsableConditional,UsableFunction,UsableParameter,UsablePlanetConditional,UsablePlanetFunction,UsablePlanetParameter,ImageIndex,Shader,Horizon_Atmosphere_Intensity,Horizon_Atmosphere_Falloff,Bump_Amount,Atmosphere_Min,Atmosphere_Tile_U,Atmosphere_Tile_V,Atmosphere_Pan_Multiplier,Emissive_Twinkle_Multiplier,Normal_Map_Tile,City_Emissive_Tile,ContinentMask01,ContinentMask02,Continent_Texture,Ocean_Texture,AtmosphereMaster,City_Emissive,Normal_Map,Atmosphere_ColorR,Atmosphere_ColorG,Atmosphere_ColorB,Atmosphere_ColorA,Atmosphere_MixerR,Atmosphere_MixerG,Atmosphere_MixerB,Atmosphere_MixerA,Beach_ColorR,Beach_ColorG,Beach_ColorB,Beach_ColorA,City_Emissive_ColorR,City_Emissive_ColorG,City_Emissive_ColorB,City_Emissive_ColorA,City_Emissive_MixerR,City_Emissive_MixerG,City_Emissive_MixerB,City_Emissive_MixerA,Continent_ColorR,Continent_ColorG,Continent_ColorB,Continent_ColorA,Continent_Color_AltR,Continent_Color_AltG,Continent_Color_AltB,Continent_Color_AltA,Continent_Mask_MixerR,Continent_Mask_MixerG,Continent_Mask_MixerB,Continent_Mask_MixerA,Continent_Mask_Mixer02R,Continent_Mask_Mixer02G,Continent_Mask_Mixer02B,Continent_Mask_Mixer02A,Continent_Texture_MixerR,Continent_Texture_MixerG,Continent_Texture_MixerB,Continent_Texture_MixerA,Horizon_Atmosphere_ColorR,Horizon_Atmosphere_ColorG,Horizon_Atmosphere_ColorB,Horizon_Atmosphere_ColorA,Landmass_MixerR,Landmass_MixerG,Landmass_MixerB,Landmass_MixerA,Ocean_ColorR,Ocean_ColorG,Ocean_ColorB,Ocean_ColorA,Ocean_Color_AltR,Ocean_Color_AltG,Ocean_Color_AltB,Ocean_Color_AltA,Ocean_Texture_MixerR,Ocean_Texture_MixerG,Ocean_Texture_MixerB,Ocean_Texture_MixerA,Silt_ColorR,Silt_ColorG,Silt_ColorB,Silt_ColorA,SunColor0,SunColor1,SunColor2,Brightness0,Brightness1,Brightness2,Fringe_Bloom,Opacity,Corona_ColorR,Corona_ColorG,Corona_ColorB,Corona_ColorA
12,Planet09,4,0.87,0.87,135839,Pluto,30109,138083,,-1,0,2.8,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,121,GXM_Planet_Pluto,10,1,1.2,0,1,1,0,0.03,2,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal02,0.948965,0.766744,0.612066,0,0,0,0,0,0.1,0.15,0.13,1,0,0,0,1,1,0,0,1,0.436813,0.254916,0.00456,0,0.02,0.04,0.02,1,1,2,3,0,0.5,0,0,0,1,0,0,0,0.038473,0.073828,0.14198,0,4,2,2,0,0.781751,0.487765,0.025371,0,0.899385,0.737205,0.358654,0,0,0,5,0,0.05,0.1,0.9,1,16430454,16430454,2632008,0.5,1,80,0,0.05,0.965815,0.65237,0.43134,0
13,Planet10,4,0.48,0.34,165679,Luna,30110,165680,136217,51,0,1.5,0,-1,0,0,1,Land,0,0,1,0,0,,1,974,1,1,974,1,0,4681,0,39,GXM_Planet_moon,0.3,15,2,0,1,1,0,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal02,0.535642,0.535642,0.535642,0,0,0,0,0,0.535642,0.535642,0.535642,0,0,0,0,1,1,0,0,1,0.002932,0.002932,0.002932,0,0.02,0.04,0.02,1,0,0.2,5,0,0,0,1,0,0.535642,0.535642,0.535642,0,0.038473,0.073828,0.14198,0,2.5,0.2,1,0,0.063815,0.063815,0.063815,0,0.026549,0.61907,0.071761,1,0.535642,0.535642,0.535642,0,0.409826,0.409826,0.409826,0,2502986,14216683,2502986,1,1,50,0,0.05,0.288816,0.325037,0.529523,0
14,Planet11,4,0.48,0.77,135761,Asteroid Belt,30111,135762,,-1,0,0.01,0,-1,2,0,0,,0,0,1,0,0,,1,975,1,1,975,1,1,975,1,70,,19,1,0.55,0,1,1,0,0.03,1,1,GXM_ContinentMask01,GXM_DiffuseMask01,GXM_DiffuseMask01,GXM_DiffuseMask01,GXM_Atmosphere01,GXM_ContinentMask02,GXM_PlanetNormal01,0.8,1.3,1.3,1,1,0.1,2,1,0.1,0.15,0.13,1,0,0,0,1,1,0,0,1,0.04,0.7,0.05,1,0.02,0.04,0.02,1,1,0,0,0,0,1,1,0,1,0,0,0,0.173439,0.4,0.9,1,0.2,0.7,0.1,1,0.014311,0.022013,0.067725,1,0.026549,0.61907,0.071761,1,0,0,5,0,0.05,0.1,0.9,1,-1,-1,-1,0,0,0,0,0,0,0,0,1
18,Planet01,8,0.29,0.4,135824,Eden Prime,70101,138068,136217,-1,0,4.55,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,1,GXM_Planet_018,2,5,0,0,1,1,1.02,0,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,10,10,10,0,0.5,0,2,0,0.170138,0.47044,0.144972,0,8,4,1,0,0.5,0.5,0.5,0,0.054592,0.20836,0.044553,0,0.010398,0.139022,0.004116,0,0.3,0.4,0.7,0,0.14198,0.14198,0.14198,0,0,0,0.1,0,0.5,0.329729,0.899385,0,0.1,0.17,0.23,1,0.030257,0.267358,0.409826,0,0,0,0,0,0,0,0,0,0.288816,0.598942,0.737205,0,14217470,14217470,10074606,2,0.3,5,0,5,0.121986,0.442323,1,0
19,Planet02,8,0.42,0.36,166085,Arcadia,70102,166086,,-1,0,5.7,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,-1,GXM_Planet_086,2,1,0,0.2,1,1,1.1,0,1,0,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere03,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,1,1,5,0,2,2,2,0,0.001687,0.023104,0.025371,0,1,0.442323,0.585973,0,1,0,0,1,0.420508,0.242796,0.022013,0,0.737205,0.560499,0.523443,0,0.6,18,0.6,0,12,11,0.6,0,1,1,1,0,0.91575,0.612066,0.394083,0,3,3,1.6,1,0.20471,0.190463,0.009696,0,0.170138,0.358654,0.271577,0,0,2,2,0,0.20471,0.061907,0.011126,0,15169298,1072271167,15169298,200,1,200,5,4,0.399293,0.190463,0.003303,0
20,Planet03,8,0.21,0.55,166087,Zion,70103,166088,,-1,0,5.7,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,-1,GXM_Planet_057,1,2,0,0,2,1,1.2,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere03,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,40,40,5,0,2,2,2,0,0.859174,0.708298,0.334458,0,0,0,0,1,1,0,0,1,0.25084,0.14198,0,0,1,0.948965,0.442323,0,0.325037,0.796917,0.242796,0,0.907547,0.875138,0.541798,0,0.529523,0.529523,0.529523,0,0.21952,0.21952,0.21952,0,0.046149,0.523443,0.368591,0,0.000367,0,0.121986,0,1,0.013473,0.017936,0,0.982826,0.982826,0.982826,0,0.851252,0.867136,0.358654,0,4214895,6701327,4214895,100,0.03,100,0,4,0.21952,0.368591,0.005028,0
21,Planet04,8,0.7,0.18,166089,Nirvana,70104,166090,,-1,0,4.6,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,-1,GXM_Planet_063,5,3,0,0,1,1,1,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere02,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,2,2,3,0,0,1,0,0,0.019918,0.054592,0.011881,0,0,0,0,1,1,0,0,1,0.560499,0.687031,0.517401,0,0.859174,0.632043,0.084642,0,0,0,1,0,0.7,2.9,1,0,0,0,0,0,0.598942,0.45908,0.529523,0,0.70117,0.598942,0.180144,1,0.133209,0.43134,0.481952,0,1,0.875138,0.03423,0,0.982826,0.982826,0.982826,0,0.121986,0.028991,0.028991,0,10408958,10408958,10408958,50,0.1,0,0,3,0.288816,0.325037,0.529523,0
22,Planet05,8,0.93,0.43,166091,Xanadu,70105,166092,,-1,0,4.7,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,-1,GXM_Planet_034,4,4,0.55,0,1,1,1.05,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere02,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,2,2,1,0,0.5,1,1,0,0.1,0.15,0.13,1,0,0,0,1,1,0,0,1,0.04,0.7,0.05,1,0.02,0.04,0.02,1,1,0,0,0,0,1,1,0,1,0,0,0,0.38891,0.729919,0.625345,0,0.2,0.7,0.1,1,0.014311,0.022013,0.067725,1,0.026549,0.61907,0.071761,1,0,0,5,0,0.05,0.1,0.9,1,14059911,1065133377,14059911,0.2,4,5,0,2,0.851252,0.47044,0.147998,0
23,Planet01,9,0.41,0.3,135826,Noveria,80101,138071,136217,2,2,4.7,0,-1,1,0,1,Land,0,0,1,0,0,,1,974,1,1,974,1,1,1009,1,6,GXM_Planet_040,40,1,0,0.05,1,1,0.95,0,1,0,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere03,BIOA_GXM10_T.GXM_ContinentMask03,BIOA_GXM10_T.GXM_PlanetNormal01,2,2,5,0,0.5,0,1,0,0.010398,0.000992,0.000992,0,1,0.612066,0.25084,0,1,1,1,0,0.91575,0.91575,0.95737,0,0.028991,0.751895,1,0,0.7,0.1,1,0,0,0.3,0,0,0.948965,0.948965,0.948965,0,0.027755,0.071761,0.101145,0,0.3,0.5,0,1,0.001202,0.003303,0.019918,0,0.378676,1,0.91575,0,0.409826,1,1,0,0.028991,0,0,0,7390192,5091822,9652345,10,2,100,0,3,0.121986,0.442323,1,0
24,Planet02,9,0.6,0.41,166093,Svarog,80102,166094,,-1,0,5,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,-1,GXM_Planet_099,1,2,0,0.2,1,0.5,1.1,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere02,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,5,5,5,0,3,3,3,0,0.051122,0.027755,0.019918,0,0,0,0,0,1,0,0,1,0.560499,0.212044,0.028991,0,0.7593,0.74453,0.201096,0,25,6,0.2,0,0.9,2,0.3,0,1,1,1,0,0.139022,0.20836,0.151058,0,18,3,2,1,0.230998,0.737205,0.56681,0,0.031551,0.154152,0.598942,0,1,1,1,0,0.005028,0.008373,0.037029,0,16711680,16711680,16711680,50,0.05,50,0,5,0.74453,0.383775,0.180144,0
25,Planet03,9,0.6,0.22,166095,Morana,80103,166096,,-1,0,3.6,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,-1,GXM_Planet_079,40,1,0,0.05,1,1,1,0,1,0,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere03,BIOA_GXM10_T.GXM_ContinentMask03,BIOA_GXM10_T.GXM_PlanetNormal01,1,1,1,0,0.3,0,0,0,0.010398,0.000992,0.000992,0,1,0.612066,0.25084,0,1,1,1,0,0.91575,0.91575,0.95737,0,0.028991,0.751895,1,0,0.7,1,1,0,0,0.3,0,0,0.948965,0.948965,0.948965,0,0.027755,0.071761,0.101145,0,0.3,0.5,0,1,0.001433,0.003303,0.019918,0,0.378676,1,0.91575,0,0.409826,1,1,0,0.028991,0,0,0,1142690,11985144,5272203,100,5,100,0,5,0.965815,0.65237,0.43134,0
